"x","y","month","Population","dengue_cases","chik_cases","dengue_cases_confirmed","chik_cases_confirmed","release_zone","nb_trap_collections","aegypti_captured","wmel_aegypti_captured","wmel_pctg"
674293.459172921,7474843.1164987,2010-01-01,3089.63650894165,0,NA,0,NA,"RJ2",0,NA,NA,NA
674293.459172921,7475343.1164987,2010-01-01,2723.81405830383,0,NA,0,NA,"RJ2",0,NA,NA,NA
674793.459172921,7474343.1164987,2010-01-01,2986.05801773071,0,NA,0,NA,"RJ2",0,NA,NA,NA
674793.459172921,7474843.1164987,2010-01-01,3029.66701126099,0,NA,0,NA,"RJ2",0,NA,NA,NA
674793.459172921,7475343.1164987,2010-01-01,4774.36987113953,0,NA,0,NA,"RJ2",0,NA,NA,NA
674793.459172921,7475843.1164987,2010-01-01,3623.61789894104,0,NA,0,NA,"RJ2",0,NA,NA,NA
675293.459172921,7474843.1164987,2010-01-01,3570.67828369141,0,NA,0,NA,"RJ2",0,NA,NA,NA
675293.459172921,7475343.1164987,2010-01-01,9397.44932842255,0,NA,0,NA,"RJ2",0,NA,NA,NA
675293.459172921,7475843.1164987,2010-01-01,5158.12613487244,0,NA,0,NA,"RJ2",0,NA,NA,NA
675793.459172921,7474843.1164987,2010-01-01,3456.37519836426,0,NA,0,NA,"RJ2",0,NA,NA,NA
675793.459172921,7475843.1164987,2010-01-01,794.917910575867,0,NA,0,NA,"RJ2",0,NA,NA,NA
675793.459172921,7476343.1164987,2010-01-01,819.978715896606,0,NA,0,NA,"RJ2",0,NA,NA,NA
675793.459172921,7476843.1164987,2010-01-01,102.92600440979,0,NA,0,NA,"RJ2",0,NA,NA,NA
676293.459172921,7475843.1164987,2010-01-01,118.859780073166,0,NA,0,NA,"RJ2",0,NA,NA,NA
676793.459172921,7476343.1164987,2010-01-01,30.9759020805359,0,NA,0,NA,"RJ2",0,NA,NA,NA
677293.459172921,7476343.1164987,2010-01-01,37.1744251549244,0,NA,0,NA,"RJ2",0,NA,NA,NA
678293.459172921,7476343.1164987,2010-01-01,22.0989973247051,0,NA,0,NA,"RJ2",0,NA,NA,NA
678293.459172921,7476843.1164987,2010-01-01,13.7322075366974,0,NA,0,NA,"RJ2",0,NA,NA,NA
678793.459172921,7475843.1164987,2010-01-01,17.9263710007071,0,NA,0,NA,"RJ2",0,NA,NA,NA
678793.459172921,7476343.1164987,2010-01-01,34.0002940893173,0,NA,0,NA,"RJ2",0,NA,NA,NA
678793.459172921,7476843.1164987,2010-01-01,37.381330370903,0,NA,0,NA,"RJ2",0,NA,NA,NA
678793.459172921,7477343.1164987,2010-01-01,25.2344930395484,0,NA,0,NA,"RJ2",0,NA,NA,NA
679293.459172921,7475343.1164987,2010-01-01,15.6392658799887,0,NA,0,NA,"RJ2",0,NA,NA,NA
679293.459172921,7475843.1164987,2010-01-01,34.8162395954132,0,NA,0,NA,"RJ2",0,NA,NA,NA
679293.459172921,7476343.1164987,2010-01-01,35.4968995451927,0,NA,0,NA,"RJ2",0,NA,NA,NA
679293.459172921,7476843.1164987,2010-01-01,58.638347029686,0,NA,0,NA,"RJ2",0,NA,NA,NA
679293.459172921,7477343.1164987,2010-01-01,50.2312835901976,0,NA,0,NA,"RJ2",0,NA,NA,NA
679793.459172921,7474343.1164987,2010-01-01,24.0096554756165,0,NA,0,NA,"RJ2",0,NA,NA,NA
679793.459172921,7474843.1164987,2010-01-01,28.2988358289003,0,NA,0,NA,"RJ2",0,NA,NA,NA
679793.459172921,7475343.1164987,2010-01-01,18.0498725324869,0,NA,0,NA,"RJ2",0,NA,NA,NA
679793.459172921,7475843.1164987,2010-01-01,27.279231518507,0,NA,0,NA,"RJ2",0,NA,NA,NA
679793.459172921,7476343.1164987,2010-01-01,62.0844058990479,0,NA,0,NA,"RJ2",0,NA,NA,NA
679793.459172921,7476843.1164987,2010-01-01,22.5963695272803,0,NA,0,NA,"RJ2",0,NA,NA,NA
679793.459172921,7477343.1164987,2010-01-01,23.2517059445381,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7473843.1164987,2010-01-01,14.315480530262,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7474343.1164987,2010-01-01,36.3094291090965,0,NA,0,NA,"RJ2",0,NA,NA,NA
680293.459172921,7474843.1164987,2010-01-01,37.6473188996315,0,NA,0,NA,"RJ2",0,NA,NA,NA
